Waktu;Nilai CIF (US$)
July 2023;23625788
July 2023;23103292
July 2023;13143019
July 2023;73199356
July 2023;4838436
July 2023;2416856
July 2023;5116836
July 2023;64118464
July 2023;71402604
July 2023;49692605
July 2023;257640569
July 2023;887952627
July 2023;314752475
July 2023;130572999
July 2023;8241564
July 2023;181792223
July 2023;5032545
July 2023;28614647
July 2023;1389056
July 2023;5972650
July 2023;52220202
July 2023;80238810
July 2023;2916293523
July 2023;2313632474
July 2023;22539111
July 2023;932843028
July 2023;129545149
July 2023;317705369
July 2023;332041821
July 2023;28602855
July 2023;13111113
July 2023;29197098
July 2023;168497604
July 2023;41467344
July 2023;66189438
July 2023;322085
July 2023;83053707
July 2023;65375313
August 2023;34820410
August 2023;121225875
August 2023;38784408
August 2023;135785340
August 2023;8293198
August 2023;980679
August 2023;105137572
August 2023;116077881
August 2023;25438825
August 2023;568776402
August 2023;15920547
August 2023;124347127
August 2023;8455124
August 2023;341322
August 2023;18841850
August 2023;6944955
August 2023;275086305
August 2023;88283780
August 2023;41966602
August 2023;30077614
August 2023;97276420
August 2023;13521476
August 2023;464382739
August 2023;98666171
August 2023;76842350
August 2023;143398694
August 2023;2963172183
August 2023;199513421
August 2023;502737969
August 2023;123718686
August 2023;122550470
August 2023;115477738
August 2023;133209242
August 2023;59913815
August 2023;58777968
August 2023;8313599
August 2023;5400120
August 2023;289428537
August 2023;819014675
August 2023;261840665
August 2023;45714311
August 2023;48705538
August 2023;1358036
August 2023;40500407
August 2023;536831
August 2023;59965
August 2023;114663225
August 2023;126833731
August 2023;30149694
August 2023;178393
August 2023;5056708
August 2023;141183634
August 2023;4860953
August 2023;141269415
August 2023;81011092
August 2023;55466133
August 2023;1222176
August 2023;24177448
August 2023;54025225
August 2023;112963747
August 2023;27554086
August 2023;22717393
August 2023;15885311
August 2023;82804717
August 2023;3886975
August 2023;2192435
August 2023;4718639
August 2023;58166156
August 2023;54483779
August 2023;44320495
August 2023;296927012
August 2023;924617664
August 2023;355891162
August 2023;136152924
August 2023;8731753
August 2023;171691516
August 2023;6241280
August 2023;27221783
August 2023;1477483
August 2023;4997157
August 2023;53362280
August 2023;71003554
August 2023;2962259209
August 2023;2237921286
August 2023;23503390
August 2023;922219495
August 2023;132756566
August 2023;119740691
August 2023;321533149
August 2023;25528368
August 2023;11789879
August 2023;13893360
August 2023;147569934
August 2023;45060716
August 2023;63581178
August 2023;11244792
August 2023;99498283
August 2023;14001145
September 2023;24268090
September 2023;102658681
September 2023;34221240
September 2023;102458606
September 2023;7696306
September 2023;1019312
September 2023;101948088
September 2023;142903676
September 2023;23752537
September 2023;422641771
September 2023;16380823
September 2023;154346555
September 2023;6870486
September 2023;156600
September 2023;17348952
September 2023;4350029
September 2023;176754676
September 2023;72498827
September 2023;35657286
September 2023;27093810
September 2023;74252580
September 2023;11931379
September 2023;283174717
September 2023;72257661
September 2023;110090523
September 2023;117800676
September 2023;3565674846
September 2023;173473948
September 2023;483228244
September 2023;92460795
September 2023;90179216
September 2023;110107052
September 2023;124815533
September 2023;53831739
September 2023;43138767
September 2023;10681782
September 2023;5938707
September 2023;269998273
September 2023;761626368
September 2023;233591439
September 2023;41245467
September 2023;37874508
September 2023;650439
September 2023;41744493
September 2023;415736
September 2023;159439
September 2023;97512099
September 2023;127179626
September 2023;13494327
September 2023;195959
September 2023;3956959
September 2023;128003584
September 2023;14489672
September 2023;129494044
September 2023;100057658
September 2023;48275905
September 2023;419599
September 2023;26591772
September 2023;50347298
September 2023;120816164
September 2023;23971099
September 2023;22088815
September 2023;12488206
September 2023;81646917
September 2023;4301726
September 2023;2701424
September 2023;4257542
September 2023;41998231
September 2023;59266327
September 2023;36789957
September 2023;203557968
September 2023;896435620
September 2023;297007750
September 2023;104278739
September 2023;8074708
September 2023;151743430
September 2023;6045110
September 2023;31099959
September 2023;4327173
September 2023;7006290
September 2023;45461209
September 2023;69196347
September 2023;2610079138
September 2023;1836224886
September 2023;22285474
September 2023;777336884
September 2023;63223378
September 2023;57919303
September 2023;321382289
September 2023;24552447
September 2023;13128606
September 2023;15410043
September 2023;149954902
September 2023;35636986
September 2023;58906631
September 2023;230443
September 2023;81905665
September 2023;13481805
October 2023;25831747
October 2023;100250079
October 2023;38513721
October 2023;97567270
October 2023;6405401
October 2023;1236437
October 2023;62330768
October 2023;117684445
October 2023;24817018
October 2023;522047851
October 2023;17081603
October 2023;112466539
October 2023;5647395
October 2023;422708
October 2023;27025511
October 2023;5083095
October 2023;258838065
October 2023;84537877
October 2023;47768706
October 2023;34339473
October 2023;81311005
October 2023;10468486
October 2023;275797472
October 2023;96155153
October 2023;101120867
October 2023;94195116
October 2023;3523420163
October 2023;231034051
October 2023;524178185
October 2023;93940659
October 2023;113799989
October 2023;117081820
October 2023;122120746
October 2023;57811890
October 2023;47696340
October 2023;15874521
October 2023;5725494
October 2023;275044808
October 2023;858085530
October 2023;251460750
October 2023;49036090
October 2023;47762995
October 2023;88048
October 2023;39459082
October 2023;697330
October 2023;72795
October 2023;116626699
October 2023;132862132
October 2023;16382120
October 2023;69594
October 2023;4961897
October 2023;146627598
October 2023;16060249
October 2023;148271106
October 2023;104333957
October 2023;47069746
October 2023;912780
October 2023;24449264
October 2023;49066313
October 2023;122940119
October 2023;20988741
October 2023;22132298
October 2023;14602012
October 2023;87899364
October 2023;4117757
October 2023;2683871
October 2023;4942469
October 2023;49191860
October 2023;50771027
October 2023;44289762
October 2023;299471972
October 2023;848965318
October 2023;329387152
October 2023;123530490
October 2023;6926800
October 2023;160648237
October 2023;5030485
October 2023;30360737
October 2023;4065049
October 2023;7522418
October 2023;52960316
October 2023;73226511
October 2023;2902266126
October 2023;2222985790
October 2023;17925366
October 2023;774732452
October 2023;48940876
October 2023;105506432
October 2023;331723489
October 2023;27743409
October 2023;11428472
October 2023;63844746
October 2023;170019541
October 2023;38580813
October 2023;62448921
October 2023;3225947
